Industry,Number of Responses - Workforce Size < 250,Number of Responses - Workforce Size 250 +,Number of Responses - Total
Manufacturing,648,449,1097
"Water Supply, Sewerage, Waste Management And Remediation Activities",50,20,70
Construction,208,76,284
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,686,344,1030
Accommodation And Food Service Activities,321,195,516
Transportation And Storage,193,89,282
Information And Communication,297,121,418
"Professional, Scientific And Technical Activities",468,265,733
Administrative And Support Service Activities,453,361,814
Education,127,191,318
Human Health And Social Work Activities,85,59,144
"Arts, Entertainment And Recreation",180,98,278
All Industries,3809,2305,6114
